cik,fyear,Z_score_c,tier1_c,past_due_90,past_due_nonaccrual,non_perf_loan,rssdid,cik_original,gvkey,tic,cusip,conm,roa,roe,leverage,tobinq,mark_to_bk,eps,at,bkvlps,ceq,csho,dlc,dltt,ni,seq,mkvalt,prcc_f
3133,2000,36.275406,0.12545627,,,,1078604,3133,1619,ASO.1,32165102,AMSOUTH BANCORPORATION,0.0084530301,13.427215,3.1067374,1.0741512,757.40814,0.88047308,38935.977,7.5264001,2813.407,373.80701,2902.4509,5838.0659,329.12701,2813.407,5700.5566,15.25
3133,2001,474.47235,0.1437325,143211.48,195665.19,338876.69,1078604,3133,1619,ASO.1,32165102,AMSOUTH BANCORPORATION,0.013894825,27.92276,2.7958472,1.1011975,842.91913,1.4773947,38600.414,8.1400003,2955.0991,363.035,2095.749,6166.2559,536.34601,2955.0991,6861.3613,18.9
3133,2002,1077.0131,0.15277869,109382.16,190818.39,300200.56,1078604,3133,1619,ASO.1,32165102,AMSOUTH BANCORPORATION,0.015014244,33.092327,2.8272967,1.0904518,769.65503,1.7235587,40571.273,8.8165998,3115.9971,353.42401,2705.0459,6104.8018,609.14697,3115.9971,6785.7407,19.200001
3133,2003,832.8678,0.14354949,79456.375,129741.45,209197.83,1078604,3133,1619,ASO.1,32165102,AMSOUTH BANCORPORATION,0.013726053,43.592945,3.1649959,1.1181979,939.34729,1.7793038,45615.516,9.1780005,3229.6689,351.89099,2232.386,7989.5029,626.12097,3229.6689,8621.3291,24.5
3133,2004,136.85468,0.13849682,58235.855,100811.37,159047.22,1078604,3133,1619,ASO.1,32165102,AMSOUTH BANCORPORATION,0.012583623,45.321766,2.7999578,1.1142235,921.3595,1.7498751,49548.371,10.0161,3568.8411,356.31,2821.0859,7171.5181,623.49799,3568.8411,9228.4287,25.9
3133,2005,926.4292,0.14058298,59345.309,113164.32,172509.63,1078604,3133,1619,ASO.1,32165102,AMSOUTH BANCORPORATION,0.013794809,54.645958,2.9991269,1.1043279,873.68005,2.0849278,52607.109,10.442,3634.5769,348.07199,5367.0811,5533.4771,725.70502,3634.5769,9122.9668,26.209999
4962,2000,246.83966,0.10660833,,,,1275216,4962,1447,AXP,25816109,AMERICAN EXPRESS CO,0.018196771,116.4211,3.5296988,1.3960752,8267.2783,2.1191554,154423,8.8114996,11684,1326,36881.5,4359.5,2810,11684,72847.125,54.9375
4962,2001,78.719482,0.12271426,,,,,4962,1447,AXP,25816109,AMERICAN EXPRESS CO,0.0086763734,35.153713,3.3112071,1.2347213,5252.708,0.98497373,151100,9.0436001,12037,1331,32166,7691,1311,12037,47503.391,35.689999
4962,2002,373.47702,0.14043269,,,,1275216,4962,1447,AXP,25816109,AMERICAN EXPRESS CO,0.016985368,72.352379,2.7358778,1.2052155,4343.2427,2.0467434,157253,10.6215,13861,1305,29541,8381,2671,13861,46131.75,35.349998
4962,2003,492.36041,0.14275071,,,,1275216,4962,1447,AXP,25816109,AMERICAN EXPRESS CO,0.017068474,112.19861,2.5908766,1.2663089,5189.2373,2.326324,175001,11.9338,15323,1284,22498,17202,2987,15323,61927.32,48.23
